en,ph,th,ex,exth,lv,cat,wt
Absent,/ˈæb.sənt/,ขาด / ไม่อยู่,He was absent from school today.,เขาขาดเรียนวันนี้,ม.1,คำศัพท์ทั่วไป,adj.
Polite,/pəˈlaɪt/,สุภาพ / มีมารยาท,She is always polite to everyone.,เธอสุภาพกับทุกคนเสมอ,ม.1,คำศัพท์ทั่วไป,adj.
Curious,/ˈkjʊər.i.əs/,อยากรู้อยากเห็น,Children are naturally curious.,เด็กๆ มักอยากรู้อยากเห็นตามธรรมชาติ,ม.1,คำศัพท์ทั่วไป,adj.
Schedule,/ˈʃed.juːl/,ตารางเวลา / กำหนดการ,Check the schedule before you go.,ตรวจตารางเวลาก่อนไป,ม.2,คำศัพท์ทั่วไป,n.
Responsible,/rɪˈspɒn.sɪ.bəl/,มีความรับผิดชอบ,Be responsible for your own actions.,รับผิดชอบต่อการกระทำของตัวเอง,ม.2,คำศัพท์ทั่วไป,adj.
Anxious,/ˈæŋk.ʃəs/,วิตกกังวล / กระวนกระวาย,She felt anxious before the exam.,เธอรู้สึกวิตกกังวลก่อนสอบ,ม.2,คำศัพท์ทั่วไป,adj.
Generous,/ˈdʒen.ər.əs/,ใจกว้าง / เอื้อเฟื้อ,He is generous with his time and money.,เขาเอื้อเฟื้อทั้งเวลาและเงินทอง,ม.3,คำศัพท์ทั่วไป,adj.
Efficient,/ɪˈfɪʃ.ənt/,มีประสิทธิภาพ,A good worker must be efficient.,พนักงานที่ดีต้องมีประสิทธิภาพ,ม.3,คำศัพท์ทั่วไป,adj.
Grateful,/ˈɡreɪt.fəl/,รู้สึกขอบคุณ / กตัญญู,I am grateful for your help.,ฉันรู้สึกขอบคุณสำหรับความช่วยเหลือ,ม.3,คำศัพท์ทั่วไป,adj.
Negotiate,/nɪˈɡəʊ.ʃi.eɪt/,เจรจา / ต่อรอง,They negotiated a new contract.,พวกเขาเจรจาสัญญาฉบับใหม่,ม.4,คำศัพท์ทั่วไป,v.
Volunteer,/ˌvɒl.ənˈtɪər/,อาสาสมัคร / จิตอาสา,She volunteers at the local hospital.,เธออาสาทำงานที่โรงพยาบาลท้องถิ่น,ม.4,คำศัพท์ทั่วไป,n.
Environment,/ɪnˈvaɪ.rən.mənt/,สิ่งแวดล้อม,We must protect the environment.,เราต้องปกป้องสิ่งแวดล้อม,ม.4,คำศัพท์ทั่วไป,n.
Sustainable,/səˈsteɪ.nə.bəl/,ยั่งยืน / คงทน,We need sustainable energy sources.,เราต้องการแหล่งพลังงานที่ยั่งยืน,ม.5,คำศัพท์ทั่วไป,adj.
Inspire,/ɪnˈspaɪər/,สร้างแรงบันดาลใจ,Great leaders inspire others to act.,ผู้นำที่ดีสร้างแรงบันดาลใจให้ผู้อื่น,ม.5,คำศัพท์ทั่วไป,v.
